date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-01 00:00:00,41.13,12.481,36.536,9.492953,4.424,0.8111564,38.662
2016-07-01 01:00:00,37.528,10.136,33.936,8.101017,2.764443,0.5656866,32.539623
2016-07-01 02:00:00,37.947,11.327024,35.913635,9.395038,2.1,0.24384937,33.266815
2016-07-01 03:00:00,38.952,11.895,36.46874,9.308952,3.4198313,1.2150003,33.6085
2016-07-01 04:00:00,38.114,11.331873,35.540363,9.306292,2.75814,0.26132545,31.734339
2016-07-01 05:00:00,39.25452,11.619792,36.11767,9.591719,2.7507007,0.07243118,31.074871
2016-07-01 06:00:00,39.55734,12.308428,37.153,10.079,2.2370138,0.096849054,30.093
2016-07-01 07:00:00,37.99591,11.448872,35.962654,9.409,1.9254037,0.007461876,29.873
2016-07-01 08:00:00,33.926,8.286686,32.357487,6.487,1.6287683,0.048348993,29.653
2016-07-01 09:00:00,37.118443,11.507178,36.33158,9.781313,1.269,8.988034e-08,29.2135
2016-07-01 10:00:00,35.936,10.542183,34.977787,8.828936,1.269,8.988034e-08,28.835535
2016-07-01 11:00:00,35.420616,9.466,34.34192,7.9902263,1.0088254,0.11378488,27.456
2016-07-01 12:00:00,40.209,12.984,38.761,10.9681,1.343,0.13405713,25.856657
2016-07-01 13:00:00,39.23293,12.339137,38.143074,10.5833235,1.386,8.988034e-08,26.577
2016-07-01 14:00:00,39.322903,12.416281,38.28392,10.663494,1.29,8.988034e-08,26.797
2016-07-01 15:00:00,39.746193,12.648806,38.019863,10.699576,1.9533567,0.07262215,26.851662
2016-07-01 16:00:00,39.745564,12.490941,37.08098,10.471933,2.315705,8.988034e-08,26.760452
2016-07-01 17:00:00,39.957,12.751361,36.06996,10.50289,2.708,0.21701655,26.5775
2016-07-01 18:00:00,42.722,14.246771,39.378,11.607,2.6154351,0.41126284,25.518301
2016-07-01 19:00:00,36.38913,10.471,33.54447,8.458711,2.559255,0.20681152,24.706015
2016-07-01 20:00:00,40.884747,13.020289,37.769,10.774271,2.782634,0.18909344,25.032587
2016-07-01 21:00:00,36.43192,11.221117,33.507,9.092773,2.708,0.33296975,25.107643
2016-07-01 22:00:00,36.104,10.845005,33.07482,9.007,2.708,8.988034e-08,25.531761
2016-07-01 23:00:00,35.025444,10.639,32.852608,8.92655,2.303516,8.988034e-08,25.499466
2016-07-02 00:00:00,35.601,11.582813,33.88482,9.891,1.535,0.11765942,25.918
2016-07-02 01:00:00,32.921,10.057512,31.489885,8.588234,1.661218,0.091780275,25.422329
2016-07-02 02:00:00,31.329,9.55,30.691437,8.497,1.3121113,8.988034e-08,25.871275
2016-07-02 03:00:00,31.526785,8.837616,29.835,7.6639285,1.8687773,-0.0006939466,25.233591
2016-07-02 04:00:00,30.827,9.131,30.424284,7.9761686,1.215,0.13788065,25.464935
2016-07-02 05:00:00,31.97546,8.957644,29.380875,7.5028687,1.8847908,0.016163677,25.918
2016-07-02 06:00:00,30.073,7.293881,29.116457,6.112,1.29,-0.02596441,25.918
2016-07-02 07:00:00,31.504402,8.604618,29.644747,7.023,2.2156553,8.988034e-08,25.879076
