date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-01 00:00:00,40.61001,12.088705,36.536,9.201983,4.424,1.4163121,31.124197
2016-07-01 01:00:00,37.949745,10.250468,33.936,7.532,4.435,1.215,31.610235
2016-07-01 02:00:00,37.947,11.605347,35.33,9.428006,2.853009,8.9354344e-08,32.410465
2016-07-01 03:00:00,38.538067,11.895,34.965496,9.136474,3.38,1.215,33.6085
2016-07-01 04:00:00,38.114,11.176857,35.41,9.040034,2.036,8.9354344e-08,31.8505
2016-07-01 05:00:00,38.477318,11.862615,35.75267,9.41037,2.4261715,0.07564172,30.532
2016-07-01 06:00:00,39.036,11.811,37.153,9.811038,2.0834746,0.006453365,30.388697
2016-07-01 07:00:00,38.27478,11.7986555,36.536,10.143676,1.7966874,8.9354344e-08,29.873
2016-07-01 08:00:00,32.505676,8.461,30.079935,6.487,2.5240684,-0.022593647,28.27403
2016-07-01 09:00:00,38.449,13.905,37.287,11.958189,1.269,8.9354344e-08,28.7905
2016-07-01 10:00:00,35.936,9.55,34.116646,7.930923,1.7805648,0.014795154,27.7631
2016-07-01 11:00:00,35.769,9.466,34.13843,7.8981595,1.5515288,8.9354344e-08,26.915401
2016-07-01 12:00:00,35.829346,8.969386,33.998394,7.8689604,2.0654426,8.9354344e-08,26.069323
2016-07-01 13:00:00,37.025,11.895,35.732,10.313428,1.4327056,-0.04481545,26.577
2016-07-01 14:00:00,39.997692,13.26691,38.573,11.419,1.29,0.024665207,26.797
2016-07-01 15:00:00,40.292,13.848176,39.056,11.875,1.8317629,8.9354344e-08,26.797
2016-07-01 16:00:00,41.514862,13.57,39.458,11.644173,2.3826878,8.9354344e-08,26.797
2016-07-01 17:00:00,42.135,13.657526,39.41161,11.285,2.708,8.9354344e-08,26.5775
2016-07-01 18:00:00,42.500587,13.989,39.663933,11.726878,2.659276,-0.012418896,26.5775
2016-07-01 19:00:00,37.361,10.7113495,34.736095,8.605,2.708,-0.008283764,26.145699
2016-07-01 20:00:00,37.277367,10.37597,34.93147,8.285106,2.4787207,8.9354344e-08,26.1375
2016-07-01 21:00:00,36.523,10.471,33.84897,8.671368,2.7707925,0.0017865598,26.437416
2016-07-01 22:00:00,37.666386,11.1031685,35.173058,8.714894,2.4457092,8.9354344e-08,25.918
2016-07-01 23:00:00,36.439,10.639,34.699963,9.075488,1.5444618,8.9354344e-08,25.918
2016-07-02 00:00:00,35.601,11.476,34.280075,9.891,0.98507553,8.9354344e-08,25.918
2016-07-02 01:00:00,32.250404,9.950726,31.248583,8.819,-5.4433624e-08,0.026063293,25.408619
